kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
3.2718,-1.299,2.0635,0.049701,-0.3521,0.024546,-0.046957,18876.7944,459.8664,TA,0.16669,12.7654,15496.3414,25.4823,18.8829,-0.00021182,5.3118,1405.8468,6.5837,21.3788,0.00061247,2.9331,273.2476,3.5066,19.2173,-0.00040709,1.8634,133.8762,2.4048,23.7264,-0.00047038,0.64803,18.2846,1.0138,16.8343
3.505,-2.6367,1.8638,0.0423,-2.233,0.030589,-0.087314,40054.1729,973.6411,HVS,-0.3639,20.2648,23895.735,34.9713,31.747,-0.013427,7.4259,1759.3398,9.3176,28.192,-0.0050296,3.3327,246.9443,3.9166,22.1703,-0.0033762,2.2642,141.0665,2.9526,28.8492,-0.0013834,0.70597,18.6992,1.0325,17.0875
3.505,-2.6367,1.8638,0.0423,-2.233,0.030589,-0.087314,40054.1729,973.6411,HVS,-0.3639,20.2648,23895.735,34.9713,31.747,-0.013427,7.4259,1759.3398,9.3176,28.192,-0.0050296,3.3327,246.9443,3.9166,22.1703,-0.0033762,2.2642,141.0665,2.9526,28.8492,-0.0013834,0.70597,18.6992,1.0325,17.0875
4.2958,-5.1004,-0.52438,0.030081,-1.565,0.015321,-0.4081,61143.2108,1476.513,HVS,-0.21637,18.1366,20057.0518,33.9213,28.6463,0.024397,8.2528,1484.7765,10.3054,30.1691,0.0054746,3.2425,268.6129,3.9331,21.794,0.006453,1.9218,98.9758,2.5395,24.7336,0.0038338,0.62808,14.4391,0.952,15.754
4.3122,0.10971,4.0728,0.042267,-0.00017356,0.023174,0.073747,26758.1614,653.3767,HVS,0.89154,18.8671,12220.8488,40.857,25.5476,-0.013458,6.3886,818.9556,8.046,24.6546,-0.01086,3.2164,233.8963,3.8453,22.0843,-0.0069885,2.1448,162.0364,2.8514,27.974,-0.0047522,0.64238,15.307,0.98216,16.1239
3.3957,-0.79916,5.4218,0.032207,-1.2953,0.016599,0.22075,55801.1776,1362.1557,HVS,0.1635,21.6986,28277.8708,35.452,29.7299,-0.0037847,7.3265,1449.3043,9.2146,27.9881,-0.0029959,3.1387,234.6656,3.6893,21.0981,-0.00034334,1.8648,115.215,2.4809,23.8154,-0.00054351,0.51373,11.0713,0.79451,13.185
2.5716,-0.11394,4.2088,0.034628,-1.6529,0.022878,0.21753,45555.2228,1112.3652,HVS,0.68365,20.3407,26757.6935,40.0974,29.4362,0.022406,6.8205,1444.6593,8.5957,26.5656,0.0082368,2.7988,216.2112,3.3078,18.9326,0.0064927,1.7738,76.8936,2.3246,22.5636,0.0042084,0.52193,10.4335,0.81264,13.3479
3.0907,-0.017705,4.2601,0.019865,-2.3867,0.0054591,0.20215,66724.8545,1629.2961,HVS,0.31722,18.2621,13485.6947,31.7779,24.6653,-0.022446,6.2635,1227.0064,7.8481,24.7963,-0.0075747,2.8917,206.1228,3.4809,19.267,-0.0058029,1.8958,135.6609,2.5007,23.9826,-0.0042067,0.53876,12.2594,0.84242,13.901
3.0412,-0.13358,2.2051,0.047631,0.79512,0.018986,-0.30904,15380.7448,375.5578,HVS,-0.047288,9.8547,5525.4924,20.2031,15.1055,-0.0053136,4.7253,698.2011,5.9982,20.2292,-0.0030788,3.3288,241.0966,3.997,22.1713,-0.0017022,2.6446,225.1072,3.3571,33.7939,-0.0003138,0.80825,25.4354,1.2069,19.8474
3.0412,-0.13358,2.2051,0.047631,0.79512,0.018986,-0.30904,15380.7448,375.5578,HVS,-0.047288,9.8547,5525.4924,20.2031,15.1055,-0.0053136,4.7253,698.2011,5.9982,20.2292,-0.0030788,3.3288,241.0966,3.997,22.1713,-0.0017022,2.6446,225.1072,3.3571,33.7939,-0.0003138,0.80825,25.4354,1.2069,19.8474
6.1125,-0.082317,1.4114,0.047109,0.039157,0.021541,-0.50666,14727.7414,359.6197,HVS,-0.29352,8.8575,8806.241,19.6101,13.8741,-0.0015166,4.8111,588.8966,5.9418,20.005,-0.004659,3.2179,202.2848,3.8239,21.1339,-0.0026799,2.3419,165.5141,3.1163,31.5665,-0.0012004,0.84775,28.1267,1.2689,20.8525
3.8877,1.33,5.7823,0.062952,0.82541,0.033856,-0.14605,12752.4176,310.269,HVS,0.14982,10.9612,7282.0412,20.1808,16.919,-0.0026524,5.0219,727.5031,6.2875,21.2053,0.0012588,3.3729,284.1793,4.0058,23.1878,-0.00030647,2.826,308.5116,3.6634,35.5528,0.00042009,0.6392,17.3248,0.95457,15.9316
3.8877,1.33,5.7823,0.062952,0.82541,0.033856,-0.14605,12752.4176,310.269,HVS,0.14982,10.9612,7282.0412,20.1808,16.919,-0.0026524,5.0219,727.5031,6.2875,21.2053,0.0012588,3.3729,284.1793,4.0058,23.1878,-0.00030647,2.826,308.5116,3.6634,35.5528,0.00042009,0.6392,17.3248,0.95457,15.9316
3.5765,-0.79428,2.7158,0.057942,-1.4996,0.025475,0.027846,9364.8279,228.2717,HVS,0.1538,9.1004,5595.9138,16.8757,12.271,0.0033844,4.5974,702.8812,5.6226,19.496,0.00063119,2.8876,242.5671,3.4293,19.599,-0.0003602,2.4465,172.9277,3.1334,31.3329,-9.0783e-05,0.67743,13.8798,0.96231,16.1116
