amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanDerivate_1,meanDerivate_2,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,rmsdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,rmsalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,rmstheta,meanAtheta,meanFitheta
192.9654,3.505,95.3097,-2.6367,1.8638,0.85356,0.12716,0.0423,-2.233,0.030589,-99.4245,31.3118,-0.087314,31.2032,980.4311,973.6411,HVS,-0.3639,1.8638,980.4311,31.3118,34.9713,31.747,-0.013427,1.8638,980.4311,31.3118,9.3176,28.192,-0.0050296,1.8638,980.4311,31.3118,3.9166,22.1703
294.8923,4.2958,145.3981,-5.1004,-0.52438,1.8704,0.092648,0.030081,-1.565,0.015321,-152.2789,38.7593,-0.4081,38.4254,1502.2808,1476.513,HVS,-0.21637,-0.52438,1502.2808,38.7593,33.9213,28.6463,0.024397,-0.52438,1502.2808,38.7593,10.3054,30.1691,0.0054746,-0.52438,1502.2808,38.7593,3.9331,21.794
194.3892,4.3122,120.2096,0.10971,4.0728,0.65261,-0.084282,0.042267,-0.00017356,0.023174,-94.5636,25.5593,0.073747,25.5612,653.2798,653.3767,HVS,0.89154,4.0728,653.2798,25.5593,40.857,25.5476,-0.013458,4.0728,653.2798,25.5593,8.046,24.6546,-0.01086,4.0728,653.2798,25.5593,3.8453,22.0843
216.9936,3.3957,121.37,-0.79916,5.4218,-1.9877,0.058349,0.032207,-1.2953,0.016599,-101.2434,36.913,0.22075,36.9074,1362.5673,1362.1557,HVS,0.1635,5.4218,1362.5673,36.913,35.452,29.7299,-0.0037847,5.4218,1362.5673,36.913,9.2146,27.9881,-0.0029959,5.4218,1362.5673,36.913,3.6893,21.0981
177.2728,2.5716,99.744,-0.11394,4.2088,-0.77138,-0.0824,0.034628,-1.6529,0.022878,-80.9345,33.3496,0.21753,33.3521,1112.1928,1112.3652,HVS,0.68365,4.2088,1112.1928,33.3496,40.0974,29.4362,0.022406,4.2088,1112.1928,33.3496,8.5957,26.5656,0.0082368,4.2088,1112.1928,33.3496,3.3078,18.9326
222.1617,3.0907,122.9631,-0.017705,4.2601,-0.20367,-0.055421,0.019865,-2.3867,0.0054591,-120.2037,40.3612,0.20215,40.3645,1629.0249,1629.2961,HVS,0.31722,4.2601,1629.0249,40.3612,31.7779,24.6653,-0.022446,4.2601,1629.0249,40.3612,7.8481,24.7963,-0.0075747,4.2601,1629.0249,40.3612,3.4809,19.267
109.6216,3.0412,50.7684,-0.13358,2.2051,-1.2445,0.20738,0.047631,0.79512,0.018986,-67.8803,19.3782,-0.30904,19.3793,375.513,375.5578,HVS,-0.047288,2.2051,375.513,19.3782,20.2031,15.1055,-0.0053136,2.2051,375.513,19.3782,5.9982,20.2292,-0.0030788,2.2051,375.513,19.3782,3.997,22.1713
109.6216,3.0412,50.7684,-0.13358,2.2051,-1.2445,0.20738,0.047631,0.79512,0.018986,-67.8803,19.3782,-0.30904,19.3793,375.513,375.5578,HVS,-0.047288,2.2051,375.513,19.3782,20.2031,15.1055,-0.0053136,2.2051,375.513,19.3782,5.9982,20.2292,-0.0030788,2.2051,375.513,19.3782,3.997,22.1713
162.7807,6.1125,56.8479,-0.082317,1.4114,0.54176,0.012074,0.047109,0.039157,0.021541,-113.0668,18.9622,-0.50666,18.9636,359.5665,359.6197,HVS,-0.29352,1.4114,359.5665,18.9622,19.6101,13.8741,-0.0015166,1.4114,359.5665,18.9622,5.9418,20.005,-0.004659,1.4114,359.5665,18.9622,3.8239,21.1339
109.7184,3.8877,61.925,1.33,5.7823,-0.57473,0.087814,0.062952,0.82541,0.033856,-88.3462,17.6631,-0.14605,17.6145,311.9861,310.269,HVS,0.14982,5.7823,311.9861,17.6631,20.1808,16.919,-0.0026524,5.7823,311.9861,17.6631,6.2875,21.2053,0.0012588,5.7823,311.9861,17.6631,4.0058,23.1878
109.7184,3.8877,61.925,1.33,5.7823,-0.57473,0.087814,0.062952,0.82541,0.033856,-88.3462,17.6631,-0.14605,17.6145,311.9861,310.269,HVS,0.14982,5.7823,311.9861,17.6631,20.1808,16.919,-0.0026524,5.7823,311.9861,17.6631,6.2875,21.2053,0.0012588,5.7823,311.9861,17.6631,4.0058,23.1878
