,kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
53,3.2523,-0.87664,1.923,0.043276,-1.529,0.020914,0.023104,26168.0152,638.4869,HVS,0.054948,14.2097,17147.8052,30.1095,20.474,-0.015379,5.7715,1046.8622,7.2956,23.262,-0.0029839,2.9946,243.7853,3.5171,19.371,-0.0044039,1.9161,148.147,2.4343,23.5728,-0.0028843,0.45936,23.4093,0.72758,12.0583
54,4.0271,-1.2272,0.86521,0.02514,-2.2443,0.0096545,0.33736,24044.7547,586.1733,TA,-0.15063,7.8193,7652.3134,19.5451,12.4149,-0.0054634,3.8304,524.0743,4.6952,15.4185,-0.0028045,2.2155,171.4605,2.6926,14.9996,-0.0013821,1.6312,111.7185,2.202,21.8356,-0.0013148,0.56184,14.3223,0.86748,14.3778
55,3.5646,-0.82589,1.3372,0.02452,-2.0887,0.010219,0.55668,20337.1178,496.1621,TA,-0.014191,7.3242,6180.4172,19.46,11.7896,0.0013086,3.0411,306.983,3.9551,12.9917,0.00048194,1.9267,92.8802,2.2888,12.9787,-0.00047564,1.5218,94.8868,2.0116,20.2514,-9.2608e-05,0.54526,12.1098,0.82786,13.7651
56,3.0487,-0.81177,1.6959,0.041099,-2.7144,0.019231,0.38438,14079.2917,343.3723,TA,-0.049362,8.2462,7143.0936,17.0282,11.7389,0.010512,3.6481,419.5415,4.6133,15.2283,0.0019119,2.5688,167.8272,3.0337,17.6438,0.0016037,2.3903,195.8694,3.0921,30.8768,0.0010573,0.74316,21.8598,1.1002,18.3427
57,4.6249,-0.93663,1.7395,0.044242,-2.0665,0.016135,0.10083,11397.7672,277.7561,TA,-0.012321,8.4986,5508.0531,15.7601,10.8681,0.0045358,3.7025,435.4112,4.6435,15.545,-0.0011592,2.3645,135.5324,2.8259,16.431,-0.0015749,2.2547,169.0408,2.9429,29.2739,-0.00058034,0.69831,19.0905,1.0492,17.598
58,4.13,0.021244,3.2229,0.058396,0.58155,0.035641,-0.12704,16193.2832,395.4094,HVS,0.094706,13.319,12858.4229,23.726,18.8413,-0.018018,5.2364,829.8595,6.4396,20.2779,-0.0023219,2.3709,137.1371,2.8125,15.957,-0.0030967,2.4443,197.7474,3.1403,33.2202,-0.0024199,0.94243,36.0451,1.3862,23.5648
60,3.2791,-2.3789,1.0665,0.035283,1.1344,0.012406,-0.64662,26300.6903,638.6263,HVS,0.084519,12.1944,10026.8841,22.4463,17.8398,0.0005502,4.6415,748.4768,6.007,19.5284,-0.0014133,2.7388,179.971,3.2397,18.5192,1.9953e-05,2.5492,211.974,3.2378,33.8254,-9.4668e-05,0.93074,36.717,1.3672,23.3183
61,3.0902,-0.87227,2.9426,0.046112,-0.044322,0.033204,-0.15371,25146.1548,613.5398,HVS,0.034144,16.7783,17492.4677,28.996,21.814,0.0054924,5.2206,756.0928,6.4343,20.2231,-0.0030235,2.6346,162.3618,3.1339,18.113,0.00070241,2.6357,223.6147,3.3977,35.0096,-0.00069539,0.87511,28.7197,1.2919,22.1
62,5.5154,0.3118,5.1182,0.057882,1.5505,0.038691,-0.36433,25763.0613,629.0243,HVS,0.29573,18.7473,18962.576,29.8469,26.4661,0.015371,6.2157,1306.6337,7.9174,24.0887,0.0052597,2.8407,192.689,3.2874,18.1336,0.007184,2.5079,229.3663,3.1923,33.905,0.0042136,0.89998,49.8883,1.3613,22.9743
63,3.4404,-0.46177,2.0769,0.044953,-0.88326,0.019931,-0.063722,12805.4579,312.5502,HVS,-0.070703,9.1533,6929.7444,18.1769,12.6956,0.0046521,3.4078,327.4901,4.2067,13.6582,0.00021099,1.9724,90.5705,2.3433,13.6712,0.0003502,2.2193,154.943,2.7916,28.4732,0.00033015,1.1345,47.3353,1.5795,25.8743
